name,artist,charter,grade,category
"Uber Juice",Schmutz06,Schmutz06,10,Variety
"Time Requiem Solo Medley (CTH2)","Time Requiem",Chemfinal,10,Variety
"The Violation (Unforced)","Fleshgod Apocalypse",LoserPerson,10,Strumming
"The Clockmaker (Splice Hero)",Vexare,Schmooey,10,Chording
Chordiostrumular,Soinhumane,Soinhumane,10,Chording
"Destruction Armageddon (VCF)",Void222X,Void222X,10,Tapping
Universes,Adohu,Adohu,10,Tapping
Destination,Jarvis9999,Jarvis9999,10,Tapping
"VIP Party",MetaAXS,MetaAXS,10,Tapping
"What Enough Effort Sounds Like",Soinhumane,Soinhumane,10,Tapping
"Offered Eruption",joedamillio,joedamillio,10,Tapping
"Infernal Tester",Colorics,fyighfreak,10,Tapping
"Patterns on the Planet Express",MetaAXS,MetaAXS,10,Tapping
"Stargazing vGH","Travis Scott (vGHed by Succy)",Succy,10,Tapping
ABCs,Schmutz06,Schmutz06,10,Chording
Slayer,Schmutz06,Schmutz06,10,Variety
"DNA Uber Solo",Sidney600,Sidney600,10,Tapping
"Waving My Dick on the Bus",Ween,DesertCH,10,Chording
"Minds of the Mad",Exilelord,Exilelord,10,Variety
Misadventure,Exilelord,Exilelord,10,Variety
"Empty Bed (Raking)","Saint Punk",Schmooey,10,Strumming
"Sonic Stomp","Mike Orlando",Chemfinal,10,Variety
"Wiilcome to the Internet","Bo Burnham",RandomDays,10,Tapping
Fallout,MetallicaIs1337,MetallicaIs1337,10,Variety
"The Ultimate Zoidberg Challenge",Schmutz06,Schmutz06,10,Consistency
Chigasm,"Chaotrope (ft. Plumato)","Chaotrope & Plumato",10,Tapping
"Finest Girl vGH",Succy,Succy,10,Tapping
"Elated Empathy",TheEruptionOffer,TheEruptionOffer,10,Variety
"Before We Begin (Remake)",Thingerthing,Thingerthing,10,Variety
Telos,"Between the Buried and Me",captaintoasty,10,Strumming
"The Wiiolation","Raphnet Apocalypse",Kraitch/LemonGH,10,Tapping
Wiisirlou,"Dick Dale",Frif,10,Tapping
"FC Challenge To Entropy",fogsaturate,fogsaturate,10,Variety
"Lazers (ft. Dr. Zoidberg)",Schmutz06,Schmutz06,10,Tapping
Chimnobyl,Schmutz06,Schmutz06,10,Tapping
"Heavenly Spores","Blitz Lunar","Blitz Lunar",10,Tapping
DNA,Sidney600,Sidney600,10,Variety
"Super Inhu Boy",SoInhumane,SoInhumane,10,Variety
"Lunar Luminance 2",SoInhumane,SoInhumane,10,Variety
"The Pulse Reject (Abridged)",MetaAXS,MetaAXS,10,Tapping
Nightlight,ExileLord,ExileLord,10,Chording
"Ievan Polkka v1.1",Mattias,Mattias,10,Tapping
Automata,BlackPawn,BlackPawn,10,Variety
"Everything You Can Imagine Is Real...","Violet Cold",Jakvlt,10,Strumming
"Sudden Sorrow",Mattias,Mattias,10,Tapping
"The Vibe","The Boneyard","Frif and Hyperbolium",10,Variety
"The Wrath","The Boneyard","Frif and Hyperbolium",10,Tapping
"The Omnipotence","The Boneyard","Frif and Hyperbolium",10,Variety
"The Metal (The Olympian)","The Boneyard","Frif and Hyperbolium",10,Variety
Dreamscape,Oscarous64,Oscarous64,10,Tapping
"Radiance in the Light of a Dying Sun",AngelMaker,Doomwrld,10,Strumming
Neubeginn,"Der weg einer Freiheit",3-UP,10,Strumming
"Behind Neptune++",MetaAXS,MetaAXS,10,Tapping
Hollow,ExileLord,ExileLord,10,Variety
"Reptilia Overchart","The Strokes",Spunky,10,Variety
"I Won't See You Tonight","Avenged Sevenfold",Hyperbola,10,Consistency
Bobo,"Venetian Snares",Hyperbola,10,Chording
